Game_ID,Agent_Color,Winner,Moves,Phase
1,White,Agent,27,Middlegame
2,Black,Draw,54,Endgame
3,White,Agent,65,Endgame
4,Black,Stockfish,57,Middlegame
5,White,Draw,89,Endgame
6,Black,Agent,121,Endgame
7,White,Agent,25,Middlegame
8,Black,Agent,41,Middlegame
9,White,Stockfish,29,Endgame
10,Black,Draw,92,Endgame
11,White,Agent,56,Endgame
12,Black,Agent,15,Opening
13,White,Agent,35,Middlegame
14,Black,Agent,28,Endgame
15,White,Draw,275,Endgame
16,Black,Stockfish,177,Endgame
17,White,Stockfish,65,Endgame
18,Black,Draw,178,Endgame
19,White,Stockfish,38,Middlegame
20,Black,Agent,37,Endgame
21,White,Agent,46,Endgame
22,Black,Agent,34,Middlegame
23,White,Agent,47,Endgame
24,Black,Stockfish,43,Middlegame
25,White,Agent,66,Endgame
26,Black,Stockfish,23,Middlegame
27,White,Stockfish,37,Middlegame
28,Black,Agent,24,Middlegame
29,White,Agent,36,Middlegame
30,Black,Agent,53,Endgame
31,White,Agent,59,Endgame
32,Black,Agent,35,Endgame
33,White,Draw,226,Endgame
34,Black,Agent,29,Endgame
35,White,Agent,36,Middlegame
36,Black,Stockfish,16,Middlegame
37,White,Stockfish,30,Endgame
38,Black,Agent,41,Endgame
39,White,Draw,72,Endgame
40,Black,Stockfish,37,Middlegame
41,White,Stockfish,41,Middlegame
42,Black,Agent,56,Endgame
43,White,Stockfish,40,Middlegame
44,Black,Agent,56,Endgame
45,White,Agent,27,Endgame
46,Black,Agent,23,Endgame
47,White,Stockfish,21,Middlegame
48,Black,Stockfish,108,Endgame
49,White,Agent,50,Middlegame
50,Black,Agent,69,Endgame
51,White,Agent,39,Endgame
52,Black,Agent,43,Endgame
53,White,Stockfish,48,Middlegame
54,Black,Agent,53,Endgame
55,White,Draw,65,Endgame
56,Black,Stockfish,37,Middlegame
57,White,Agent,44,Endgame
58,Black,Draw,59,Endgame
59,White,Stockfish,98,Endgame
60,Black,Stockfish,85,Endgame
61,White,Agent,41,Endgame
62,Black,Agent,59,Endgame
63,White,Agent,75,Endgame
64,Black,Agent,39,Middlegame
65,White,Agent,53,Middlegame
66,Black,Agent,49,Endgame
67,White,Agent,47,Endgame
68,Black,Agent,60,Middlegame
69,White,Draw,115,Endgame
70,Black,Agent,81,Endgame
71,White,Agent,38,Middlegame
72,Black,Agent,77,Endgame
73,White,Stockfish,26,Middlegame
74,Black,Agent,73,Endgame
75,White,Agent,25,Middlegame
76,Black,Agent,39,Endgame
77,White,Agent,46,Endgame
78,Black,Stockfish,48,Endgame
79,White,Stockfish,62,Endgame
80,Black,Agent,36,Middlegame
81,White,Agent,21,Endgame
82,Black,Agent,26,Middlegame
83,White,Stockfish,30,Middlegame
84,Black,Agent,32,Middlegame
85,White,Stockfish,31,Middlegame
86,Black,Agent,49,Endgame
87,White,Agent,62,Endgame
88,Black,Draw,209,Endgame
89,White,Stockfish,52,Middlegame
90,Black,Stockfish,19,Middlegame
91,White,Agent,39,Endgame
92,Black,Draw,270,Endgame
93,White,Agent,60,Endgame
94,Black,Stockfish,18,Middlegame
95,White,Agent,39,Endgame
96,Black,Draw,57,Endgame
97,White,Agent,52,Endgame
98,Black,Agent,40,Endgame
99,White,Draw,211,Endgame
100,Black,Draw,188,Endgame
